皮肤ID,卡牌组ID,皮肤图片,皮肤图片名,下牌动画,提示文字,皮肤显示时间,是否是特殊异画皮肤,外框名,异画皮肤ICON点击TIPS,异画ICON文件名,皮肤短描述,皮肤长描述,获取途径,升级解锁皮肤等级,异画标记图片名,获得方式,部署音效,死亡音效,皮肤录像
110191,11019,eagle_archer_lv1,雄鹰铁卫,,,2023|1|1|0|0|0,0,skin_dec,,,“看到山谷下的蠢货了么？”“准备俯冲，今晚就吃他了。”,,,1,,,,,
110192,11019,eagle_archer_lv2,雄鹰铁卫,,升级至4级解锁,2023|1|1|0|0|0,0,skin_dec,,,“看到山谷下的蠢货了么？”“准备俯冲，今晚就吃他了。”,,,4,special_rare,,,,
110193,11019,eagle_archer_lv3,雄鹰铁卫,,,2023|1|1|0|0|0,0,skin_dec,,,“看到山谷下的蠢货了么？”“准备俯冲，今晚就吃他了。”,,,99,special_rare,,,,
110201,11020,berserker_lv1,狂战士,,,2023|4|20|0|0|0,0,skin_dec,,,鲜血只会让狂战士越战越勇。,,,1,,,,,
110202,11020,berserker_lv2,狂战士,,升级至4级解锁,2023|4|20|0|0|0,0,skin_dec,,,鲜血只会让狂战士越战越勇。,,,4,special_rare,,,,
110203,11020,berserker_lv3,狂战士,,,2023|4|20|0|0|0,0,skin_dec,,,鲜血只会让狂战士越战越勇。,,,99,special_rare,,,,
110204,11020,berserker_lv3,狂战士--首领,special_skin,活动获得,2023|4|20|0|0|0,1,skin_dec2,狂战士--首领,skin_berserker,“兄弟们！和我一起撕碎敌人”,,,2,special_epic,,,,
110211,11021,night_thief_lv1,夜路游侠,,,2023|4|20|0|0|0,0,skin_dec,,,“我为我的招式起了个不错的名字--光之封牌剑！”,,,1,,,,,
110212,11021,night_thief_lv2,夜路游侠,,升级至4级解锁,2023|4|20|0|0|0,0,skin_dec,,,“我为我的招式起了个不错的名字--光之封牌剑！”,,,4,special_rare,,,,
110213,11021,night_thief_lv3,夜路游侠,,,2023|4|20|0|0|0,0,skin_dec,,,“我为我的招式起了个不错的名字--光之封牌剑！”,,,99,special_rare,,,,
110214,11021,night_thief_special1_md,夜路游侠,special_skin,商店购买,2023|4|20|0|0|0,1,skin_dec2,夜路游侠,skin_night_thief,“我为我的招式起了个不错的名字--光之封牌剑！”,,,2,special_epic,,,,
110215,11021,night_thief_special2,夜路游侠--游魂,legend_skin_feizei,通行证任务解锁,2023|11|1|0|0|0,1,skin_dec2,夜路游侠--游魂,skin_night_thief_1,“小心你的一举一动，我正注视着你呢！”,,,2,special_legend,,,,night_thief_special2
110221,11022,pigeon_swordsman_lv1_md,白鸽剑士,,,2023|1|1|0|0|0,0,skin_dec,,,“放心，我一定准时到！”,,,1,,,,,
110222,11022,pigeon_swordsman_lv2_md,白鸽剑士,,升级至4级解锁,2023|1|1|0|0|0,0,skin_dec,,,“放心，我一定准时到！”,,,4,special_rare,,,,
110223,11022,pigeon_swordsman_lv3,白鸽剑士（已用）,,,2023|1|1|0|0|0,0,skin_dec,,,“放心，我一定准时到！”,,,99,special_rare,,,,
110231,11023,spear_thrower_lv1,掷矛手,,,2023|1|1|0|0|0,0,skin_dec,,,可近可远，可攻可守。,,,1,,,,,
110232,11023,spear_thrower_lv2,掷矛手,,升级至4级解锁,2023|1|1|0|0|0,0,skin_dec,,,可近可远，可攻可守。,,,4,special_rare,,,,
110233,11023,spear_thrower_lv3,掷矛手,,,2023|1|1|0|0|0,0,skin_dec,,,可近可远，可攻可守。,,,99,special_rare,,,,
110241,11024,wolf_president_lv1,狼骑统帅,,,2023|4|20|0|0|0,0,skin_dec,,,全体都有，四肢着地，咬住武器，冲锋！,,,1,,,,,
110242,11024,wolf_president_lv2,狼骑统帅,,升级至4级解锁,2023|4|20|0|0|0,0,skin_dec,,,全体都有，四肢着地，咬住武器，冲锋！,,,4,special_rare,,,,
110251,11025,skyshatter_lv1,破天者,,,2023|4|20|0|0|0,0,skin_dec,,,防空兵器？不需要，我挥手就能击落这些烦人的苍蝇！,,,1,,,,,
110252,11025,skyshatter_lv2,破天者,,升级至4级解锁,2023|4|20|0|0|0,0,skin_dec,,,防空兵器？不需要，我挥手就能击落这些烦人的苍蝇！,,,4,special_rare,,,,
110261,11026,admiral_eagle_lv3,飞鸟参谋长,,,2030|1|1|0|0|0,0,skin_dec,,,,,,1,,,,,
110262,11026,admiral_eagle_lv3,飞鸟参谋长,,升级至4级解锁,2030|1|1|0|0|0,0,skin_dec,,,,,,4,special_rare,,,,
110271,11027,werewolf_deathsquads_lv1,狼人突击兵,,,2023|9|1|0|0|0,0,skin_dec,,,没有坐骑，狼人突击兵可以跑得比狼骑兵更快。,,,1,,,,,
110272,11027,werewolf_deathsquads_lv2,狼人突击兵,,升级至4级解锁,2023|9|1|0|0|0,0,skin_dec,,,没有坐骑，狼人突击兵可以跑得比狼骑兵更快。,,,4,special_rare,,,,
110273,11027,werewolf_deathsquads_special1,狼人突击兵--嗷呜,special_skin,活动获得,2023|9|1|0|0|0,1,skin_dec2,狼人突击兵--嗷呜,skin_werewolf_deathsquads,确认过眼神，是真正的狼人。,,,2,special_epic,,,,
110281,11028,scouts_lv1,猎犬斥候,,,2023|4|20|0|0|0,0,skin_dec,,,每一条猎犬都是天生的斥候。,,,1,,,,,
110282,11028,scouts_lv2,猎犬斥候,,升级至4级解锁,2023|4|20|0|0|0,0,skin_dec,,,每一条猎犬都是天生的斥候。,,,4,special_rare,,,,
110291,11029,dragonkinjr_lancer_lv1,幼龙人枪兵,,,2023|4|20|0|0|0,0,skin_dec,,,幼龙人用它们出色的枪技证明了龙人是天生的战士。,,,1,,,,,
110292,11029,dragonkinjr_lancer_lv2,幼龙人枪兵,,升级至4级解锁,2023|4|20|0|0|0,0,skin_dec,,,幼龙人用它们出色的枪技证明了龙人是天生的战士。,,,4,special_rare,,,,
110293,11029,dragonkinjr_lancer_lv3,幼龙人枪兵--精英,,4级专家牌士获得,2023|4|20|0|0|0,1,skin_dec2,幼龙人枪兵--精英,skin_dragonkinjr_lancer,幼龙人用它们出色的枪技证明了龙人是天生的战士。,,,2,special_rare,,,,
110294,11029,dragonkinjr_lancer_special1,幼龙人枪兵--游乐园,special_skin,活动获得,2023|4|20|0|0|0,1,skin_dec2,幼龙人枪兵--游乐园,skin_dragonkinjr_lancer_1,幼龙人用它们出色的枪技证明了龙人是天生的战士。,,,2,special_epic,,,,
110301,11030,orcinfantry_lv1,兽人步兵,,,2023|10|1|0|0|0,0,skin_dec,,,兽人永不为奴！但是可以被雇佣。,,,1,,,,,
110302,11030,orcinfantry_lv2,兽人步兵,,升级至4级解锁,2023|10|1|0|0|0,0,skin_dec,,,兽人永不为奴！但是可以被雇佣。,,,4,special_rare,,,,
120011,12001,lost_drums_lv1,顽石幼狼,,,2023|1|1|0|0|0,0,skin_dec,,,“就决定是你啦！顽石幼狼！”,,,1,,,,,
120012,12001,lost_drums_lv2,顽石幼狼,,升级至4级解锁,2023|1|1|0|0|0,0,skin_dec,,,“就决定是你啦！顽石幼狼！”,,,4,special_rare,,,,
120013,12001,lost_drums_lv3,顽石幼狼（已用）,,,2023|1|1|0|0|0,0,skin_dec,,,“就决定是你啦！顽石幼狼！”,,,99,special_rare,,,,
120021,12002,fox_guide_lv1,狐狸射手,,,2023|1|1|0|0|0,0,skin_dec,,,“我再射他一箭就走！”,,,1,,,,,
120022,12002,fox_guide_lv2,狐狸射手,,升级至4级解锁,2023|1|1|0|0|0,0,skin_dec,,,“我再射他一箭就走！”,,,4,special_rare,,,,
120023,12002,fox_guide_lv3,狐狸射手（已用）,,,2023|1|1|0|0|0,0,skin_dec,,,“我再射他一箭就走！”,,,99,special_rare,,,,
120031,12003,notarat_lv1,伪鼠,,,2023|1|1|0|0|0,0,skin_dec,,,“你才是老鼠！你全家都是老鼠！”,,,1,,,,,
120032,12003,notarat_lv2,伪鼠,,升级至4级解锁,2023|1|1|0|0|0,0,skin_dec,,,“你才是老鼠！你全家都是老鼠！”,,,4,special_rare,,,,
120033,12003,notarat_lv3,伪鼠--小丑,,1级专家牌士获得,2023|1|1|0|0|0,1,skin_dec2,伪鼠--小丑,skin_notarat,“你才是老鼠！你全家都是老鼠！”,,,2,special_rare,,,,
120041,12004,tux_shooter_lv1,礼服射手,,,2023|1|1|0|0|0,0,skin_dec,,,他们负责迎宾、滑雪表演、干掉不给小费的客人。,,,1,,,,,
120042,12004,tux_shooter_lv2,礼服射手,,升级至4级解锁,2023|1|1|0|0|0,0,skin_dec,,,他们负责迎宾、滑雪表演、干掉不给小费的客人。,,,4,special_rare,,,,
120043,12004,tux_shooter_lv3,礼服射手（已用）,,,2023|1|1|0|0|0,0,skin_dec,,,他们负责迎宾、滑雪表演、干掉不给小费的客人。,,,99,special_rare,,,,
120051,12005,leezard_lv1,功夫蜥蜴,,,2023|1|1|0|0|0,0,skin_dec,,,“内止懦、外止暴、此为武”--蜥蜴长者,,,1,,,,,
120052,12005,leezard_lv2,功夫蜥蜴,,升级至4级解锁,2023|1|1|0|0|0,0,skin_dec,,,“内止懦、外止暴、此为武”--蜥蜴长者,,,4,special_rare,,,,
120053,12005,leezard_lv3,功夫蜥蜴,,,2023|1|1|0|0|0,0,skin_dec,,,“内止懦、外止暴、此为武”--蜥蜴长者,,,99,special_rare,,,,
120061,12006,abobinable_lv1,冬熊,,,2023|1|1|0|0|0,0,skin_dec,,,冬熊只对漂亮的保暖服饰感兴趣。所以围巾和小命，选一个吧。,,,1,,,,,
120062,12006,abobinable_lv2,冬熊,,升级至4级解锁,2023|1|1|0|0|0,0,skin_dec,,,冬熊只对漂亮的保暖服饰感兴趣。所以围巾和小命，选一个吧。,,,4,special_rare,,,,
120063,12006,abobinable_lv3,冬熊,,,2023|1|1|0|0|0,0,skin_dec,,,冬熊只对漂亮的保暖服饰感兴趣。所以围巾和小命，选一个吧。,,,99,special_rare,,,,
120071,12007,ninjafox_lv1,忍者狐狸,,,2023|4|20|0|0|0,0,skin_dec,,,“你认错人了，在下不叫鸣人。”,,,1,,,,,
120072,12007,ninjafox_lv2,忍者狐狸,,升级至4级解锁,2023|4|20|0|0|0,0,skin_dec,,,“你认错人了，在下不叫鸣人。”,,,4,special_rare,,,,
120073,12007,ninjafox_lv3,忍者狐狸,,,2023|4|20|0|0|0,0,skin_dec,,,“你认错人了，在下不叫鸣人。”,,,99,special_rare,,,,
120081,12008,ninjutsurtle_lv1,忍者龟,,,2024|1|16|0|0|0,0,skin_dec,,,“快点打完，我还要吃披萨呢。”,,,1,,,,,
120082,12008,ninjutsurtle_lv2,忍者龟,,升级至4级解锁,2024|1|16|0|0|0,0,skin_dec,,,“快点打完，我还要吃披萨呢。”,,,4,special_rare,,,,
120083,12008,ninjutsurtle_lv3,忍者龟,,,2024|1|16|0|0|0,0,skin_dec,,,“快点打完，我还要吃披萨呢。”,,,99,special_rare,,,,
120091,12009,lazydragon_lv1,睡龙,,,2023|1|1|0|0|0,0,skin_dec,,,“不要和我比懒，我懒得和你比。”,,,1,,,,,
120092,12009,lazydragon_lv2,睡龙,,升级至4级解锁,2023|1|1|0|0|0,0,skin_dec,,,“不要和我比懒，我懒得和你比。”,,,4,special_rare,,,,
120093,12009,lazydragon_lv3,睡龙,,,2023|1|1|0|0|0,0,skin_dec,,,“不要和我比懒，我懒得和你比。”,,,99,special_rare,,,,
120094,12009,lazydragon_special1,睡龙,special_skin,活动获得,2023|1|1|0|0|0,1,skin_dec2,睡龙--皇家,skin_lazydragon,“不要和我比懒，我懒得和你比。”,,,2,special_epic,,,,
120101,12010,flying_carpet_lv1,飞毯,,,2023|4|20|0|0|0,0,skin_dec,,,阿拉伯国度的浪漫故事被现实无情打破。,,,1,,,,,
120102,12010,flying_carpet_lv2,飞毯,,升级至4级解锁,2023|4|20|0|0|0,0,skin_dec,,,阿拉伯国度的浪漫故事被现实无情打破。,,,4,special_rare,,,,
120103,12010,flying_carpet_lv3,飞毯（已用）,,,2023|4|20|0|0|0,0,skin_dec,,,阿拉伯国度的浪漫故事被现实无情打破。,,,99,special_rare,,,,
120111,12011,crocodime_lv1,投机鳄鱼,,,2023|1|1|0|0|0,0,skin_dec,,,鳄鱼总是枪不离身，毕竟这世界上能同时用来玩赌博和输了赖账的东西并不多。,,,1,,,,,
120112,12011,crocodime_lv2,投机鳄鱼,,升级至4级解锁,2023|1|1|0|0|0,0,skin_dec,,,鳄鱼总是枪不离身，毕竟这世界上能同时用来玩赌博和输了赖账的东西并不多。,,,4,special_rare,,,,
120113,12011,crocodime_lv3,投机鳄鱼,,,2023|1|1|0|0|0,0,skin_dec,,,鳄鱼总是枪不离身，毕竟这世界上能同时用来玩赌博和输了赖账的东西并不多。,,,99,special_rare,,,,
120121,12012,chimpbow_lv1,黑猩猩猎手,,,2023|1|1|0|0|0,0,skin_dec,,,然而黑猩猩猎手早已看穿了一切。,,,1,,,,,
120122,12012,chimpbow_lv2,黑猩猩猎手,,升级至4级解锁,2023|1|1|0|0|0,0,skin_dec,,,然而黑猩猩猎手早已看穿了一切。,,,4,special_rare,,,,
120123,12012,chimpbow_lv3,黑猩猩猎手,,,2023|1|1|0|0|0,0,skin_dec,,,然而黑猩猩猎手早已看穿了一切。,,,99,special_rare,,,,
120131,12013,griffin_lv1,狮鹫,,,2023|1|1|0|0|0,0,skin_dec,,,“这东西不能画在封面上。”--附魔书籍《卡片怪兽》作者,,,1,,,,,
120132,12013,griffin_lv2,狮鹫,,升级至4级解锁,2023|1|1|0|0|0,0,skin_dec,,,“这东西不能画在封面上。”--附魔书籍《卡片怪兽》作者,,,4,special_rare,,,,
120133,12013,griffin_lv3,狮鹫,,,2023|1|1|0|0|0,0,skin_dec,,,“这东西不能画在封面上。”--附魔书籍《卡片怪兽》作者,,,99,special_rare,,,,
120134,12013,griffin_special1,狮鹫,special_skin,活动获得,2023|1|1|0|0|0,1,skin_dec2,狮鹫（异画皮肤）--皇家,skin_griffin,“这东西不能画在封面上。”--附魔书籍《卡片怪兽》作者,,,2,special_epic,,,,
120141,12014,pirate_lobster_lv1,狂澜龙虾,,,2023|1|1|0|0|0,0,skin_dec,,,“天哪，我们要发财啦！”--龙虾捕猎者遗言,,,1,,,,,
120142,12014,pirate_lobster_lv2,狂澜龙虾,,升级至4级解锁,2023|1|1|0|0|0,0,skin_dec,,,“天哪，我们要发财啦！”--龙虾捕猎者遗言,,,4,special_rare,,,,
120143,12014,pirate_lobster_lv3,狂澜龙虾,,,2023|1|1|0|0|0,0,skin_dec,,,“天哪，我们要发财啦！”--龙虾捕猎者遗言,,,99,special_rare,,,,
120151,12015,boocan_lv1,尖嘴犀鸟,,,2023|4|20|0|0|0,0,skin_dec,,,鸟人族都是射箭的好手，而尖嘴犀鸟则宛如弓箭之神,,,1,,,,,
120152,12015,boocan_lv2,尖嘴犀鸟,,升级至4级解锁,2023|4|20|0|0|0,0,skin_dec,,,鸟人族都是射箭的好手，而尖嘴犀鸟则宛如弓箭之神,,,4,special_rare,,,,
120153,12015,boocan_lv3,尖嘴犀鸟,,,2023|4|20|0|0|0,0,skin_dec,,,鸟人族都是射箭的好手，而尖嘴犀鸟则宛如弓箭之神,,,99,special_rare,,,,
120161,12016,magic_carpet_lv1,魔装地毯,,,2023|4|20|0|0|0,0,skin_dec,,,“瞧一瞧看一看！上好的章鱼须地毯！”--投机鳄鱼,,,1,,,,,
120162,12016,magic_carpet_lv2,魔装地毯,,升级至4级解锁,2023|4|20|0|0|0,0,skin_dec,,,“瞧一瞧看一看！上好的章鱼须地毯！”--投机鳄鱼,,,4,special_rare,,,,
120163,12016,magic_carpet_lv3,魔装地毯,,,2023|4|20|0|0|0,0,skin_dec,,,“瞧一瞧看一看！上好的章鱼须地毯！”--投机鳄鱼,,,99,special_rare,,,,
120171,12017,qigong_leezard_2_lv1,气功蜥蜴,,,2023|1|1|0|0|0,0,skin_dec,,,他现在烦恼的是这招该叫波动拳还是蜥派气功。,,,1,,,,,
120172,12017,qigong_leezard_2_lv2,气功蜥蜴,,升级至4级解锁,2023|1|1|0|0|0,0,skin_dec,,,他现在烦恼的是这招该叫波动拳还是蜥派气功。,,,4,special_rare,,,,
120173,12017,qigong_leezard_2_lv3,气功蜥蜴,,,2023|1|1|0|0|0,0,skin_dec,,,他现在烦恼的是这招该叫波动拳还是蜥派气功。,,,99,special_rare,,,,
